Festival Name,City,State,Country,Continent,Start Date,End Date,Headliner 1,Headliner 2,Headliner 3,Headliner 4,Other Acts 1,Others Acts 2,Others Acts 3,Others Acts 4
Crystal Coast Music Festival,Atlantic Beach,NC,USA,NA,06/03/2017,06/03/2017,Needtobreathe,Dr. Dog,Shovels & Rope,Bombadil,Los Colognes,Rebekah Todd & The Odyssey,,
DCODE Festival,Madrid,,Spain,EU,09/09/2017,09/09/2017,Interpol (TotBL),Band of Horses,The Kooks,Liam Gallagher,,,,
Down the Rabbit Hole,Ewijk,Holland,Netherlands,EU,06/23/2017,06/25/2017,Fleet Foxes,Moderat,Nicolas Jaar,Benjamin Clementine,Bonobo,The Avalanches,De La Soul,Father John Misty
Download Festival,Leicestershire,England,UK,EU,06/09/2017,06/11/2017,System of a Down,Biffy Clyro,Aerosmith,Prophets of Rage,Rob Zombie,Mastodon,Slayer,Coheed & Cambria
Download Festival Paris,Paris,,France,EU,06/09/2017,06/11/2017,Linkin Park,System of a Down,Green Day,Blink 182,Slayer,Prophets of Rage,Mastodon,Suicial Tendencies
Download Festival Spain,Madrid,,Spain,EU,06/22/2017,06/24/2017,Linkin Park,System of a Down,Prophets of Rage,NOFX,Mastodon,Opeth,Gojira,Suicial Tendencies
Dreams Music Festival,Toronto,ON,Canada,NA,07/08/2017,07/09/2017,Above & Beyond,Dillstradamus,DVBBS,Steve Angello,Bauuer,Infected Mushroom,Green Velvet,What So Not
Dreamstate San Francisco,San Francisco,CA,USA,NA,05/27/2017,05/28/2017,Gareth Emery,Paul Van Dyk,Paul Oakenfold,Liquid Ace,Vini Vici,PureNRG,Bryan Kearney,
EDC Vegas,Las Vegas,NV,USA,NA,06/16/2017,06/18/2017,Armin van Buuren,Tiesto,Axwell Ingrosso,Alison Wonderland/Diplo,Afrojack,Above & Beyond,Dillon Francis,Madeon
EDC Orlando,Orlando,FL,USA,NA,,,,,,,,,,
Electric Forest Festival (Week 1),Rothbury,MI,USA,NA,06/22/2017,06/25/2017,String Cheese,Bassnectar,Odesza,MMJ,Nero (Live),Kamasi Washington,Above & Beyond,Oliver Heldens
Electric Forest Festival (Week 2),Rothbury,MI,USA,NA,06/29/2017,07/02/2017,String Cheese,Bassnectar,Flume,DJ Snake,RL Grime,Thievery Corporation,Dillon Francis,Wolf + Lamb
Electric Picnic Music and Arts Festival,Stradbally,,Ireland,EU,09/01/2017,09/03/2017,The xx,A Tribe Called Quest,Duran Duran,Chaka Khan,Kiasmos,London Grammar,RTJ,Father John Misty
Escape Halloween,San Bernardino,CA,USA,NA,10/28/2017,10/29/2017,Armin van Buuren,Chainsmokers,Kaskade,Tiesto,Four Tet,Benny Benassi,Eric Prydz,Claude von Stroke
Faster Horses Country Music Festival,Brooklyn,MI,USA,NA,07/21/2017,07/23/2017,Luke Bryan,Miranda Lambert,Darius Rucker,Brett Eldredge,Dierks Bentley,Charlie Daniels Band,Wheeler Walker Jr.,
Field Trip Music & Arts Festival,Toronto,ON,USA,NA,06/03/2017,06/04/2017,Phoenix,Broken Social Scene,Feist,Portugal. The Man,Thundercat,,,
Findings Festival,Oslo,,Norway,EU,08/18/2017,08/19/2017,Kream,Alesso,Carpe Diem,DJ Snake,Tiesto,Galantis,Julie Bergan,Cezinando
Firenze Rocks Festival,Florence,,Italy,EU,06/23/2017,06/25/2017,Aerosmith,Eddie Vedder,System of a Down,The Cranberries,Placebo,Prophets of Rage,Cigarettes After Sex,Deaf Havana
Forecastle Festival,Louisville,KY,USA,NA,07/14/2017,07/16/2017,LCD Soundsystem,Odesza,Weezer,Sturgill Simpson,PJ Harvey,Conor Oberst,Waka Flocka Flame,Classixx
Free Press Summer Festival,Houston,TX,USA,NA,06/03/2017,06/04/2017,Lorde,Flume,G-Eazy,Cage the Elephant,The Shins,Portugal. The Man,Rufus du Sol,Carnage
FVDED in the Park,Surrey,BC,Canada,NA,07/07/2017,07/08/2017,Chainsmokers,Wiz Khalifa,PARTYNEXTDOOR,Dillon Francis,Jai Wolf,Ty Dolla $ign,Louis the Child,Zaytoven
Glasgow Summer Sessions,Glasgow,Scotland,UK,EU,08/24/2017,08/24/2017,Eminem,RTJ,Danny Brown,Russ,,,,
Governors Ball Music Festival,New York City,NY,USA,NA,06/02/2017,06/04/2017,Tool,Chance the Rapper,Phoenix,Lorde,Flume,The Avalanches,Air,Rufus du Sol
Graspop Metal Meeting,Dessel,,Belgium,EU,06/16/2017,06/18/2017,Rammstein,Deep Purple,Scorpions,Evanescence,Rob Zombie,Mastodon,Primus,Dillinger Escape Plan
HARD Summer Music Festival,Los Angeles,CA,USA,NA,08/05/2017,08/06/2017,Snoop Dogg,DJ Snake,Justice (DJ),Bassnectar,Uffie,Migos,E-40,Mobb Deep
Heartland Festival,Kværndrup,,Denmark,EU,06/02/2017,06/04/2017,Eddie Vedder,Bryan Ferry,Miguel,Flying Lotus,Cat Power,London Grammar,Oh Wonder,Francis and the Lights
I Love Techno Europe,Montpellier,,France,EU,12/16/2017,12/16/2017,,,,,,,,
Independent Days Festival,Milan,,Italy,EU,09/16/2017,09/17/2017,,,,,,,,
Jamboree in the Hills,Morristown,OH,USA,NA,07/13/2017,07/16/2017,Jason Aldean,Thomas Rhett,Lady Antebellum,Brothers Osborne,,,,
Latitude Festival,Suffolk,England,UK,EU,07/13/2017,07/16/2017,Mumford & Sons,Fleet Foxes,The 1975,John Cale,Goldfrapp,Glass Animals,Leon Bridges,Public Service Broadcasting
Leeds Festival,Leeds,England,UK,EU,08/25/2017,08/27/2017,Eminem,Muse,Kasabian,Flume,Fatboy Slim,Liam Gallagher,At The Drive In,Migos
Lollapalooza Berlin,Berlin,,Germany,EU,09/09/2017,09/10/2017,Foo Fighters,Mumford & Sons,The xx,Hardwell,Rudimental,London Grammar,Oliver Heldens,Django Django
